Company,Position,Connected On,Full Name,ano,mes,mes_n,Latitude,Longitude
Sonastério,Coordenador de projetos,2019-01-20,Madison Patel,2019,Janeiro,1,-20.101491,-43.928009
BN Express,CEO,2019-01-19,Debbie Huber,2019,Janeiro,1,40.6398574,-73.9779319
Toro - Investimentos,Senior Talent Acquisition,2019-01-18,Tracie Baker,2019,Janeiro,1,-19.9353313,-43.9297169
FIEMG,Coordenadora de Educação Corporativa,2019-01-18,Kevin Miller,2019,Janeiro,1,-19.9332315,-43.9247363
Instituto Defesa Coletiva,Analista Administrativo,2019-01-17,Caleb Alvarez,2019,Janeiro,1,-19.9300531,-43.9325931
www.RogerLessa.com,CEO,2019-01-17,Christian Thompson,2019,Janeiro,1,-18.9566253,-48.2715755
União Equipamentos Mecânicos Ltda,Analista de Métodos e Processos Pleno | Analista de PCP Pleno,2019-01-17,Nicole French,2019,Janeiro,1,-19.9532941,-44.0703408
Tecnocar Engenharia,Projetos de Engenharia,2019-01-17,Scott Jackson,2019,Janeiro,1,-19.8614996,-43.9394907
PUC Minas Oficial,Assistente administrativo,2019-01-16,Teresa Stanley,2019,Janeiro,1,-19.9228622,-43.992595
Autônomo,Instalador técnico,2019-01-16,Jason Lopez,2019,Janeiro,1,41.961419,-87.71169220000002
PFS Empreendimentos,Empreendedor,2019-01-15,Shannon Stafford,2019,Janeiro,1,26.0865281,-80.37395529999999
EVOHR,Consultor Protheus em Recursos Humanos,2019-01-15,William Hill,2019,Janeiro,1,44.50410429999999,-73.1823028
HiveSys,Engenheiro de software remoto,2019-01-15,Karen Jackson,2019,Janeiro,1,-19.9042131,-43.9134755
FCA Latam (Fiat Chrysler Automobiles),Project Chief - Brake Systems,2019-01-15,Michael Garcia,2019,Janeiro,1,42.65513869999999,-83.2305966
Griloano,Fotógrafo profissional,2019-01-15,Ryan Wheeler,2019,Janeiro,1,,
Neves & Pimenta Advogados,Advogado,2019-01-15,Emily Russo,2019,Janeiro,1,-17.6936426,-42.5165191
Deloitte,Business Analyst,2019-01-15,Dylan Nguyen,2019,Janeiro,1,34.7454105,-92.2749654
MARTINS LANNA / TCL Mineração - Tecnologia em Areia e Brita,Controlador de manutenção,2019-01-14,Chase Cox,2019,Janeiro,1,-19.8737502,-44.0988255
Wylinka,Líder de projetos,2019-01-14,Kristen Harvey,2019,Janeiro,1,-19.929056,-43.931904
Drogaria Araujo S/A,Analista de Treinamento e Desenvolvimento,2019-01-14,Courtney Mcgee,2019,Janeiro,1,-19.9148705,-43.9512978
Nomad Sports,Gerente financeiro/administrativo,2019-01-14,Steven Johnson,2019,Janeiro,1,43.5879109,-110.8273081
Localiza,Analista de Projetos Especiais,2019-01-14,Jerome Berry,2019,Janeiro,1,37.6900454,-95.1430326
Precon Engenharia,Auxiliar de engenharia,2019-01-14,Veronica Hall,2019,Janeiro,1,-20.0117811,-44.0326445
Remo Engenharia,Analista de planejamento,2019-01-13,Michael Thornton,2019,Janeiro,1,-19.9302982,-43.9231338
MadeSimple Group,Mid-Level PHP Developer,2019-01-13,Jason Fox,2019,Janeiro,1,41.97215,-88.0143152
AGIS MEDICAL,Coordenadora Técnica,2019-01-13,Nicole Wright,2019,Janeiro,1,40.7870111,-74.4644684
Pimentel Advogados Associados,Advogada associada,2019-01-12,Yolanda Porter,2019,Janeiro,1,-23.5495124,-46.6362072
CBTU - Companhia Brasileira de Trens Urbanos,Técnico Industrial - Eletrotécnica,2019-01-11,Maria Hayden,2019,Janeiro,1,-22.9043232,-43.1921569
Qatar Investimentos,Operador de mesa Jr,2019-01-11,Scott Burke,2019,Janeiro,1,-19.9665133,-43.9554847
Ferrosider Componentes Ltda,Chefe de Administração de Pessoal e Recursos Humanos,2019-01-11,Kenneth Farmer,2019,Janeiro,1,-19.9225528,-44.0424962
HENRIQUE BAIÃO,CEO / Sócio Fundador,2019-01-21,Pamela Wells,2019,Janeiro,1,-19.9622297,-43.9564985
Hatch,Instrumentation Engineer | Engenheiro de Instrumentação,2019-01-11,Kristin Rangel,2019,Janeiro,1,33.6837051,-117.8662239
Localiza Gestão de Frotas,Sucesso do Cliente,2019-01-21,Caitlin Harmon,2019,Janeiro,1,-27.2318317,-52.0244037
Pontifícia Universidade Católica de Minas Gerais,Department Head,2019-01-21,Samantha Rhodes,2019,Janeiro,1,-19.9550716,-44.1984331
Global Tecnologia Em Serviços E Utilidades Ltda,Gerente de Vendas,2019-01-31,Courtney Thompson,2019,Janeiro,1,-19.9497166,-44.0441576
Vallourec,Técnico de planejamento SR,2019-01-31,Joshua Roberts,2019,Janeiro,1,29.7444036,-95.56053879999999
SLB CONTABILIDADE,Proprietário da empresa,2019-01-30,Alicia Hunt,2019,Janeiro,1,38.754048,-9.169606
Supera Negócios Imobiliários,Corretor de imóveis,2019-01-30,Jennifer Palmer,2019,Janeiro,1,-19.819885,-43.900982
IPEM-MG,Assessora Jurídica,2019-01-30,Edward Romero,2019,Janeiro,1,-19.9345859,-44.0654496
Kairós Vellar Investimentos ,Mesa de Operações ,2019-01-29,Kimberly Flores,2019,Janeiro,1,-23.5938122,-46.6725859
Construtora Sudoeste,Analista de Projetos BIM,2019-01-26,Hunter Baker,2019,Janeiro,1,-19.9346553,-43.9300456
DHL Supply Chain,Coordenadora de Melhoria Contínua,2019-01-26,Jason Stone,2019,Janeiro,1,34.960052,-80.97578419999999
Pizza Burnet's,Gerente,2019-01-25,Tamara Lewis,2019,Janeiro,1,30.3186897,-97.7389967
EPC Engenharia Projeto Consultoria SA,Projetista Mecânico Pleno,2019-01-25,Alexander Williams,2019,Janeiro,1,-20.311921,-40.292903
Far-me,Head de Finanças,2019-01-24,Tina King,2019,Janeiro,1,35.2681236,-81.61120559999999
CXT,Inspetor de campo,2019-01-24,Bobby Peterson,2019,Janeiro,1,40.7603204,-89.59543959999999
Patrus Transportes Urgentes Ltda,Estagiário de recursos humanos,2019-01-24,Christopher Rodriguez,2019,Janeiro,1,-7.2331,-39.344745
Imx - Industria Mecanica Xavier,Orçamentista comercial,2020-01-07,Tammy Owens,2020,Janeiro,1,-19.9214244,-44.02721560000001
IMA Industria mecânica alterosa,Analista de orçamento,2020-01-08,John Russell,2020,Janeiro,1,-19.8844372,-44.0385076
MRV,Auxiliar de engenharia,2020-01-08,Beth Williams,2020,Janeiro,1,32.9013586,-117.1989525
Supex,Gerente Administrativo,2020-01-09,Cassandra Smith,2020,Janeiro,1,40.7636036,-73.80888430000002
Autônomo,Jornalista freelancer,2020-01-22,Daniel Wall,2020,Janeiro,1,41.961419,-87.71169220000002
IBEXT Instituto Brasileiro de Extensão Tecnológica,Consultor de Desenvolvimento Industrial,2020-01-28,William Sellers,2020,Janeiro,1,-16.6876492,-49.2849419
J.A. Sistemas de Energia,Gerente Comercial,2020-01-28,Emily English,2020,Janeiro,1,,
Localiza Gestão de Frotas,Administração de Contratos,2020-01-28,Jill Shelton,2020,Janeiro,1,-27.2318317,-52.0244037
GOL Linhas Aéreas Inteligentes,Copiloto,2019-01-24,April Weiss,2019,Janeiro,1,28.463378,-81.45357299999999
MRV,Analista de Suprimentos,2019-01-23,Jeff Barton,2019,Janeiro,1,32.9013586,-117.1989525
Víktor Waewell,Book Author,2019-01-23,Dawn Berger,2019,Janeiro,1,,
CMC Displays - Unboxing Solutions,Proprietário,2019-01-23,Gene Brown,2019,Janeiro,1,28.4245082,-81.4166328
Tecnocar Engenharia Ltda,Product Project Manager,2019-01-23,Adam Thomas,2019,Janeiro,1,-19.8614996,-43.9394907
Colégio São Judas Tadeu ,Auxiliar de sala de aula,2019-01-22,Alexa Harris,2019,Janeiro,1,-5.050135399999999,-42.7443373
Rabelo Recursos Humanos ,Consultora de RH,2019-01-22,Mark Hardin,2019,Janeiro,1,-19.8816725,-43.94994550000001
Belgo Bekaert,Estagiário Trainne,2019-01-22,Tiffany Wheeler,2019,Janeiro,1,-20.070281,-44.66399
Autentica Engenharia Industrial,Orçamentista comercial VIII,2019-01-21,Charles Allen,2019,Janeiro,1,-19.9500226,-44.0689622
Clarice Santana Desenvolvimento Humano,Coach Executiva e de Carreira | Psicoterapeuta,2019-01-11,Caroline Deleon,2019,Janeiro,1,-19.9221732,-43.9548905
Dj Caio Aguiar,Proprietário,2019-01-14,Thomas Meadows,2019,Janeiro,1,-20.7231049,-46.6099983
RHI Magnesita,Analista RH,2019-01-10,Justin Hall,2019,Janeiro,1,39.9299812,-76.83906549999999
Bagy,Chief Product Officer,2019-01-08,April Smith,2019,Janeiro,1,45.01210460000001,-93.6644135
Stola do Brasil Ltda.,Analista de Compras,2019-01-08,Erin Greene,2019,Janeiro,1,-19.8661448,-43.9401412
Vale,Engenheira Civil Júnior II,2019-01-08,George Dawson,2019,Janeiro,1,43.6464489,-79.3796153
N Malhas,Gerente comercial,2019-01-08,Crystal Rose,2019,Janeiro,1,47.6098657,-122.3383131
Syngenta,Auxiliar de campo,2019-01-08,Carl Miller,2019,Janeiro,1,41.2174992,-95.92763649999999
Dakar Móveis,Sócio-gerente geral,2019-01-08,Debra Williams,2019,Janeiro,1,-18.918325,-48.2999
Vale,Analista Operacional,2019-01-08,Thomas Kim,2019,Janeiro,1,43.6464489,-79.3796153
Robotec Automação e Robótica,Projetista Mecânico Pleno,2019-01-08,Susan Patel,2019,Janeiro,1,-19.9735368,-44.1902909
RNascimento Treinamentos,Microempreendedor,2019-01-08,Laurie Sanchez,2019,Janeiro,1,-3.7945354,-38.560896
Allugator,Senior Inside Sales,2021-01-05,Phillip Jackson,2021,Janeiro,1,-19.9570113,-43.9381644
Rock Minas Peças e Usinagem LTDA,Projetista,2021-01-13,Patricia Ortiz,2021,Janeiro,1,-19.9322843,-44.073507
Arbitrium Sports,Sócio,2021-01-18,Danielle Yang,2021,Janeiro,1,38.7978207,-94.6910209
MG Sports,Vendedor,2021-01-18,Chris King,2021,Janeiro,1,46.892034,-71.9101511
Localiza,Analista Sênior de Planejamento de Frota,2019-01-11,Sarah Zavala,2019,Janeiro,1,37.6900454,-95.1430326
Engescom,Analista de Planejamento,2016-01-17,Jill Hart,2016,Janeiro,1,-19.7595673,-43.8576554
Grupo,Empreendedor,2019-01-07,Kelly Smith,2019,Janeiro,1,39.136308,-94.516577
CEMIG,Técnica Sistema Elétrico,2019-01-08,Sheila Brewer,2019,Janeiro,1,-19.4816412,-44.1559946
GE Power,Analista de processos de negócios,2019-01-08,Raymond Anderson,2019,Janeiro,1,33.9137305,-84.45628669999999
Stone,Product Leader,2019-01-08,Lisa Hernandez,2019,Janeiro,1,37.06250000000001,-95.677068
COACHR RECURSOS HUMANOS LTDA,Gerente de projetos,2021-01-21,Erica Hale,2021,Janeiro,1,-19.8971606,-43.955889
SMS group GmbH,Technical Analyst,2021-01-22,Heather Mcintosh,2021,Janeiro,1,40.4483896,-80.0020832
Progen S.A.,Técnico civil II,2021-01-25,Alicia Whitaker,2021,Janeiro,1,4.5932416,-74.18771029999999
Mezzanino Engenharia e Consultoria,Estagiário de engenharia,2021-01-25,Jeffery Vincent,2021,Janeiro,1,-30.5148445,-53.4832383
OGP SOLUÇÕES,Gerente de serviços,2019-01-08,Douglas Clark,2019,Janeiro,1,-19.9447917,-43.9566044
Asesoria y Consultoria Independiente,Asesor inmobiliario,2019-01-09,Yesenia Bailey,2019,Janeiro,1,29.0763955,-110.9442563
GoPhone,Responsável por Operações Técnicas,2019-01-08,Carmen Vargas,2019,Janeiro,1,29.794676,-95.532736
Vale,Engenheiro Pleno,2019-01-09,Joshua Clark,2019,Janeiro,1,43.6464489,-79.3796153
Maroto Indústria e Comércio,CEO,2019-01-10,Rachel Young,2019,Janeiro,1,-20.144026,-44.201208
Proverh,Consultoria em Recursos Humanos,2019-01-10,Linda Leon,2019,Janeiro,1,-19.9429112,-43.9325892
Tribunal Regional do Trabalho - 3a. Regiao,Estagiário de Direito,2019-01-10,Doris Simpson,2019,Janeiro,1,-19.9332128,-43.9261119
Applus+ IDIADA,Projetista / Analista do Produto,2019-01-09,Gregory Miller,2019,Janeiro,1,34.5425983,-117.4604573
Secretaria de Estado de Educação do Estado de Minas Gerais.,Professor de biologia,2019-01-10,Sheri Wilson,2019,Janeiro,1,-19.7839124,-43.9521655
Air Liquide Brasil,Consultor Técnico de Vendas,2019-01-10,Brandon Ball,2019,Janeiro,1,29.7824515,-95.5364005
M.Roscoe Engenharia e Construção Ltda,Estagiário,2019-01-09,Carlos Harris,2019,Janeiro,1,-19.9391421,-43.9411211
Beazy,Head Of Content,2019-01-10,Kevin Rhodes,2019,Janeiro,1,37.3058448,-80.03524569999999
BVP Geotecnia e Hidrotecnia,Estagiário,2019-01-09,Jennifer Ruiz,2019,Janeiro,1,-19.9656224,-43.9550063
Grupo Buzattos,Arquiteta projetista,2019-01-10,Suzanne Rodriguez,2019,Janeiro,1,-19.9990171,-44.24216570000001
Belgo Mineira Bekaert_Grupo Arcelor Mittal,Remuneração e Beneficios,2019-01-09,Crystal Smith,2019,Janeiro,1,-21.7417641,-43.3694602
Seu Inbox,CEO & Owner,2019-01-10,Olivia Brown,2019,Janeiro,1,28.4302826,-81.30850989999999
Avanade,Human Resources Business Partner,2019-01-09,Steven Rodriguez,2019,Janeiro,1,32.8706656,-96.93789869999999
Tribunal de Justiça do Estado de Minas Gerais,Assessor jurídico,2019-01-09,Steven Frye,2019,Janeiro,1,-19.9446328,-43.9224312
Eletro Vibez,CEO and Head of Marketing,2019-01-09,David Rodriguez,2019,Janeiro,1,-23.0033394,-43.3209301
Magna International,Coordenadora de Recursos Humanos,2019-01-09,Kimberly Pacheco,2019,Janeiro,1,42.4698792,-83.2596513
Ultragaz,Supervisor Regional de Logística Domicilar,2019-01-09,Erica David,2019,Janeiro,1,-5.3378488,-49.0996033
Rede Globo,Operador de áudio,2019-01-09,Kaylee Hoffman,2019,Janeiro,1,40.7200972,-74.0046292
STEF ARTES GRÁFICAS LTDA,SERVIÇOS GRÁFICOS,2019-01-09,Nathan Harrell,2019,Janeiro,1,-19.9016449,-43.9228306
KSB Brasil Ltda,Técnico Orçamentista,2019-01-09,Traci Bush,2019,Janeiro,1,-23.214612,-46.8458785
CGP,ispetor de obra,2019-01-09,Bradley Wilson,2019,Janeiro,1,45.30071299999999,-72.719036
Maturado Steak House,Sócio proprietário,2019-01-09,Erin Rodriguez,2019,Janeiro,1,40.7098774,-73.9625052
VINCI Energies,Especialista de Desenvolvimento Humano e Organizacional,2019-01-09,Maria Morton,2019,Janeiro,1,35.5260485,-97.54715580000001
AlmavivA do Brasil,Gerente geral de operações,2019-01-09,Derek Nelson,2019,Janeiro,1,-23.5474186,-46.6441801
ECB - Empresa Construtora Brasil | Grupo Mota - Engil,Analista de Infraestrutura de TI Sênior,2019-02-20,Christina Lopez,2019,Fevereiro,2,-19.9284253,-43.9455994
Onfly,Inside Sales – Analista Comercial Pleno,2019-02-20,Sean Black,2019,Fevereiro,2,44.046763,-92.482359
B2W Digital,Supervisora de operações,2019-02-19,Nicole Rose,2019,Fevereiro,2,,
Abu Dhabi Executive Office,Smart City Expert,2019-02-20,Joshua Smith,2019,Fevereiro,2,24.4198638,54.4484687
Itambé,Gerente Corporativo de Manutenção,2019-02-08,Christopher Hale,2019,Fevereiro,2,-15.251599,-40.6239038
Engineering Brasil,Coordenadora de Cultura e Desenvolvimento,2019-02-21,Danny Raymond,2019,Fevereiro,2,40.1600876,-105.0251204
Altran Consultoria em Tecnologia Brasil,ADAS/AD Project Chief,2019-02-11,Chelsea Walker,2019,Fevereiro,2,-19.9477552,-44.0388616
Grupo Sada,Gerente Depto Adm. Pessoal,2019-02-09,Douglas Riley,2019,Fevereiro,2,25.4430889,-99.9942245
PRODAP,Coordenador de Gestão de Pessoas - P&P,2019-02-09,Heidi Erickson,2019,Fevereiro,2,47.6190541,-122.3363929
Sada Transportes,Supervisora Financeira,2019-02-08,Daniel Mcknight,2019,Fevereiro,2,25.6576365,-100.2966011
Rethink Tecnologia,Analista de Recursos Humanos ,2019-02-07,Selena Barnett,2019,Fevereiro,2,-19.9417481,-43.9257376
VLI Logística,Analista Técnico Sênior - Engenharia Elétrica,2019-02-19,Taylor Rodriguez,2019,Fevereiro,2,-23.5934383,-46.6863681
Voltz,HR Business Partner,2019-02-08,Jeffrey King,2019,Fevereiro,2,47.9030262,-91.8605712
Stellantis Latam,Analyst,2019-02-20,Terri Vance,2019,Fevereiro,2,42.3143231,-82.91362079999999
Mary Kay Global,Consultor de beleza,2019-02-19,Jaime Carroll,2019,Fevereiro,2,32.9714237,-96.8226583
Arcadis - Commercial Developer Project Managers,Técnico em Mecânica Master,2019-02-17,Elizabeth Jackson,2019,Fevereiro,2,45.3466554,-75.79181179999999
Prefeitura de Belo Horizonte,Referência Técnica,2019-02-19,Theresa Armstrong,2019,Fevereiro,2,-19.9237641,-43.9363914
IBRA Outplacement e Evolução Profissional,Consultor de carreira,2019-02-07,Brenda Lindsey,2019,Fevereiro,2,-19.9369083,-43.93429829999999
Csb - Consultoria Contabil,SOCIO DIRETOR,2019-02-18,David Davis,2019,Fevereiro,2,-20.3282894,-44.2409027
Sofist,Talent Acquisition,2019-02-15,Brian Myers,2019,Fevereiro,2,33.8742026,-118.2443866
Prefeitura de Belo Horizonte,Estagiário,2019-02-14,Amanda Cummings,2019,Fevereiro,2,-19.9237641,-43.9363914
Qualitas Humanus,Selecionadora PL,2019-02-14,Amanda Todd,2019,Fevereiro,2,-23.5044834,-47.4566362
Hl Interfones,Auxiliar de escritório,2019-02-13,Shannon Turner,2019,Fevereiro,2,-19.9099894,-43.9646505
TOPMINAS CONSTRUTORA,Engenheiro civil,2019-02-13,Brett Franklin,2019,Fevereiro,2,-19.9617086,-44.0797503
ForSócios,Co-founder,2019-02-12,Regina Thomas,2019,Fevereiro,2,-19.9422337,-43.9291615
Novità Soluções e reformas em ambientes,Proprietário,2019-02-19,David Boyd,2019,Fevereiro,2,34.0584993,-84.2697001
GoPhone,CEO & Founder,2019-02-12,Douglas Stark,2019,Fevereiro,2,29.794676,-95.532736
Stefanini Brasil,Analista de Recursos Humanos Sr,2019-02-12,Karla Jenkins,2019,Fevereiro,2,37.541988,-77.4405724
Grupo SADA,DIRETORA CSC,2019-02-12,John Camacho,2019,Fevereiro,2,25.4430889,-99.9942245
Cemig,Técnico de Planejamento da Manutenção Eletroeletrônica da Transmissão,2019-02-11,Samuel Hamilton,2019,Fevereiro,2,-19.4816412,-44.1559946
MGODOI Consultoria Empresarial,CEO,2019-02-11,Billy Martin,2019,Fevereiro,2,-19.9348931,-43.94721510000001
RAF IT,Diretor,2019-02-11,Thomas Christensen,2019,Fevereiro,2,41.3878621,-73.053185
Pascon & Freitas Consultoria Contábil,Sócia Contadora,2019-02-11,Logan Barajas,2019,Fevereiro,2,-19.8339153,-44.1542405
Produtive Carreira e Conexões com o Mercado,Gerente de Relacionamento Associado,2019-02-18,Dillon Tran,2019,Fevereiro,2,-23.6071832,-46.6967724
Superhar Consultoria em Recursos Humanos,HeadHunter,2019-02-18,Dana Bond,2019,Fevereiro,2,-19.9537159,-43.9602719
Trybe,Student Experience,2019-02-12,Miranda Nelson,2019,Fevereiro,2,37.8002407,-122.2483953
Grupo Classic,Assitente de marketing,2019-02-07,Zachary Waters,2019,Fevereiro,2,-19.9002164,-44.0652791
FIEMG,Assistente de Pessoal II,2019-02-21,Jordan Brady,2019,Fevereiro,2,-19.9332315,-43.9247363
SlicingDice - The All-in-One Data Solution,Assistente de auditoria,2019-02-06,John Werner,2019,Fevereiro,2,-23.6258071,-46.7020006
Agile Project Educação e Treinamentos,Gestão da empresa,2021-02-28,Patricia Booth,2021,Fevereiro,2,37.5298455,-122.2618057
Grupo SADA,Analista de Estratégia e Inovação,2019-02-21,Benjamin Evans,2019,Fevereiro,2,25.4430889,-99.9942245
Dias Moura Advogados,Assessor Jurídico,2019-02-28,Michelle Schultz,2019,Fevereiro,2,-19.9211075,-43.9487122
VLI Logística,Analista de recursos humanos,2019-02-27,Angela Wilson,2019,Fevereiro,2,-23.5934383,-46.6863681
MG-sports,Operações de almoxarifado,2019-02-27,Walter Montgomery,2019,Fevereiro,2,46.892034,-71.9101511
Brilliant,Estagiário,2019-02-07,Isaac Hernandez,2019,Fevereiro,2,37.7736559,-122.4019784
Hospital Sarah,Técnico de manutenção,2019-02-25,Stephanie Reid,2019,Fevereiro,2,36.135359,-95.9667772
Aloo Telecom,Analista de telecomunicações,2020-02-19,Brandon Simmons,2020,Fevereiro,2,-9.6507246,-35.7316089
JBA | Jabour Brandão Alkmim Advocacia e Consultoria,Estagiário,2020-02-19,Cheryl Brown,2020,Fevereiro,2,,
Hospital Munucipal de Contagem,Tec. Enfermagem,2020-02-12,James Reid,2020,Fevereiro,2,-19.9366701,-44.0613631
Dmb Distribuidora Mineira De Bombas,Vendedor Interno,2020-02-12,Nicholas Miller,2020,Fevereiro,2,-19.999077,-44.0380718
Universidade do Estado de Minas Gerais,Professora,2020-02-11,Courtney Williamson,2020,Fevereiro,2,42.7322166,-90.4942674
FIEMG,Assistente administrativo de RH,2019-02-26,Shannon Gallegos,2019,Fevereiro,2,-19.9332315,-43.9247363
AngloGold Ashanti,Analista administrativo,2020-02-10,Jo Mullins,2020,Fevereiro,2,39.632898,-104.8939458
home office,Consultor comercial,2020-02-10,Victoria Harris,2020,Fevereiro,2,36.3648645,-94.2176775
Viação Sorriso de Minas,Auxiliar administrativo,2019-02-05,Heidi Greene,2019,Fevereiro,2,-18.9246075,-48.31599079999999
Confiança Múltiplos Negócios LTDA EPP,Auxiliar administrativo,2019-02-05,Benjamin Sanders,2019,Fevereiro,2,-19.9376804,-44.0488631
Leroy Merlin,Parts Sales Manager - E-commerce,2019-02-05,Mary Miller,2019,Fevereiro,2,48.8618579,2.3522141
Itaú Unibanco,Analista de Engenharia Jr,2019-02-04,Julie Munoz,2019,Fevereiro,2,25.7723394,-80.1877414
Boreda - Alumipack Indústria de Embalagens Ltda,Coordenadora Administrativa de Vendas,2019-02-24,Kevin Lee,2019,Fevereiro,2,-19.8810344,-44.0348614
Mate Couro S/A,Analista de manutenção e processos,2019-02-03,Bradley Shaw,2019,Fevereiro,2,-19.8983855,-44.0162042
SGA TI em nuvem,Senior Sales Account Executive,2019-02-03,Scott Carpenter,2019,Fevereiro,2,-19.9688177,-43.9576895
UltraPão Alimentos,Product Development Analyst,2019-02-01,Jake Watson,2019,Fevereiro,2,-22.2416994,-45.8787224
C.A.A.R DO BRASIL,Product Development Analyst,2020-02-01,James Davis,2020,Fevereiro,2,-19.9817414,-43.94082299999999
PUC Minas,Professor,2020-02-04,Martin Mcmahon,2020,Fevereiro,2,-19.9361801,-43.9342488
Metalurgica Ventisilva,Coordenador de Recursos Humanos - PJ,2019-02-03,Yesenia Martinez,2019,Fevereiro,2,-23.5522617,-46.5905891
SAE Towers,Estagiário de engenharia,2019-03-28,Zachary Smith,2019,Março,3,29.9474849,-95.40696310000001
HOME OFFICE LOVERS,Web Designer (Back-end & Front-end • Full-Stack),2019-03-27,Carl Thompson,2019,Março,3,42.9632397,-81.22005159999999
Pimenta e Associados e Desenvolvimento Empresarial,Recrutador,2019-03-27,Marcus Rose,2019,Março,3,-19.9192671,-43.9283463
CHC Helicopter,Aircraft Maintenance Inspector,2019-03-27,Luke Berger,2019,Março,3,49.1785957,-123.1725633
Ambev,Analista de Inteligência de Mercado,2019-03-26,Joann Bell,2019,Março,3,18.5175154,-70.07067169999999
H7 PROJETOS MECÂNICOS,Projetista mecânico industrial - solid works 2020,2019-03-18,Benjamin Brown,2019,Março,3,,
Sancruza Netimóveis,Assistente Comercial,2019-03-22,Steven Lee,2019,Março,3,-19.9423976,-44.0383234
Grupo Sense,Diretor,2019-03-13,Beth Ramirez,2019,Março,3,-0.1699979,-78.4932943
Líder Aviação,Analista de planejamento,2019-03-08,Joseph Miller,2019,Março,3,-19.8515542,-43.9586469
Grupo SADA,Analista de Planejamento Comercial Pleno,2019-03-06,Travis Randolph,2019,Março,3,25.4430889,-99.9942245
CAAR Do Brasil Consultoria Técnica Ltda.,Analista de processos,2019-03-26,Dana Schwartz,2019,Março,3,-19.9817414,-43.94082299999999
AETHRA  - Automotive Systems,Asistente de meio ambiente ,2019-03-07,Justin Glenn,2019,Março,3,-19.9351257,-44.1110613
