First Name,Last Name,Email Address,Company,Position,Connected On
Dana,Schwartz,robert10@yahoo.com,CAAR Do Brasil Consultoria Técnica Ltda.,Analista de processos,26 Mar 2019
Steven,Lee,fwallace@gross.org,Sancruza Netimóveis,Assistente Comercial,22 Mar 2019
Eric,Richards,cvasquez@waller.info,,,21 Mar 2019
Benjamin,Brown,christyphillips@gmail.com,H7 PROJETOS MECÂNICOS,Projetista mecânico industrial - solid works 2020,18 Mar 2019
Beth,Ramirez,sancheztimothy@barrett.com,Grupo Sense,Diretor,13 Mar 2019
Joseph,Miller,rvelazquez@hotmail.com,Líder Aviação,Analista de planejamento,08 Mar 2019
Justin,Glenn,rebeccahoffman@hotmail.com,AETHRA  - Automotive Systems,Asistente de meio ambiente ,07 Mar 2019
Travis,Randolph,youngjohn@lowe-wong.biz,Grupo SADA,Analista de Planejamento Comercial Pleno,06 Mar 2019
Michelle,Schultz,kclarke@nash.org,Dias Moura Advogados,Assessor Jurídico,28 Feb 2019
Angela,Wilson,david05@galloway.info,VLI Logística,Analista de recursos humanos,27 Feb 2019
Walter,Montgomery,ericksondonald@howard.biz,MG-sports,Operações de almoxarifado,27 Feb 2019
Shannon,Gallegos,elizabeth05@yahoo.com,FIEMG,Assistente administrativo de RH,26 Feb 2019
Stephanie,Reid,flee@colon-jones.com,Hospital Sarah,Técnico de manutenção,25 Feb 2019
Kevin,Lee,tuckermark@lowe-ward.com,Boreda - Alumipack Indústria de Embalagens Ltda,Coordenadora Administrativa de Vendas,24 Feb 2019
Benjamin,Evans,crystal44@yahoo.com,Grupo SADA,Analista de Estratégia e Inovação,21 Feb 2019
Jordan,Brady,theresaprice@hotmail.com,FIEMG,Assistente de Pessoal II,21 Feb 2019
Danny,Raymond,areid@gmail.com,Engineering Brasil,Coordenadora de Cultura e Desenvolvimento,21 Feb 2019
Terri,Vance,rsmith@gmail.com,Stellantis Latam,Analyst,20 Feb 2019
Kenneth,Morgan,brittanycurry@brewer.com,,,
Joshua,Smith,chavezhannah@hotmail.com,Abu Dhabi Executive Office,Smart City Expert,20 Feb 2019
Sean,Black,ishort@marshall-mcmillan.com,Onfly,Inside Sales – Analista Comercial Pleno,20 Feb 2019
Christina,Lopez,linda95@hotmail.com,ECB - Empresa Construtora Brasil | Grupo Mota - Engil,Analista de Infraestrutura de TI Sênior,20 Feb 2019
Daniel,Miller,lross@price-clark.info,,,
Shawn,Gentry,mbest@dunn-cole.com,,,19 Feb 2019
Nicole,Rose,sheila71@hotmail.com,B2W Digital,Supervisora de operações,19 Feb 2019
Taylor,Rodriguez,ashleykennedy@conley.info,VLI Logística,Analista Técnico Sênior - Engenharia Elétrica,19 Feb 2019
Jaime,Carroll,juarezmichael@hotmail.com,Mary Kay Global,Consultor de beleza,19 Feb 2019
David,Boyd,ncoleman@lawson.net,Novità Soluções e reformas em ambientes,Proprietário,19 Feb 2019
Theresa,Armstrong,qyoung@gallagher.net,Prefeitura de Belo Horizonte,Referência Técnica,19 Feb 2019
Dana,Bond,anthony06@yahoo.com,Superhar Consultoria em Recursos Humanos,HeadHunter,18 Feb 2019
Dillon,Tran,morgan48@yahoo.com,Produtive Carreira e Conexões com o Mercado,Gerente de Relacionamento Associado,18 Feb 2019
David,Davis,angelarichard@christian.org,Csb - Consultoria Contabil,SOCIO DIRETOR,18 Feb 2019
Elizabeth,Jackson,cherylbrown@brown.com,Arcadis - Commercial Developer Project Managers,Técnico em Mecânica Master,17 Feb 2019
Christopher,Turner,ronald54@parker.com,,,
Brian,Myers,williamskelly@hodges-horton.com,Sofist,Talent Acquisition,15 Feb 2019
Amanda,Cummings,josephlopez@yahoo.com,Prefeitura de Belo Horizonte,Estagiário,14 Feb 2019
Amanda,Todd,michael82@rojas.org,Qualitas Humanus,Selecionadora PL,14 Feb 2019
Shannon,Turner,tylereverett@gmail.com,Hl Interfones,Auxiliar de escritório,13 Feb 2019
Brett,Franklin,zjohnson@gmail.com,TOPMINAS CONSTRUTORA,Engenheiro civil,13 Feb 2019
Regina,Thomas,tarasmith@bailey.com,ForSócios,Co-founder,12 Feb 2019
Douglas,Stark,phillip29@hernandez.com,GoPhone,CEO & Founder,12 Feb 2019
Miranda,Nelson,thomas66@scott.com,Trybe,Student Experience,12 Feb 2019
Karla,Jenkins,jasmine31@chavez.com,Stefanini Brasil,Analista de Recursos Humanos Sr,12 Feb 2019
John,Camacho,youngjudith@yahoo.com,Grupo SADA,DIRETORA CSC,12 Feb 2019
Samuel,Hamilton,michael88@obrien.com,Cemig,Técnico de Planejamento da Manutenção Eletroeletrônica da Transmissão,11 Feb 2019
Billy,Martin,hlambert@gmail.com,MGODOI Consultoria Empresarial,CEO,11 Feb 2019
Thomas,Christensen,robert81@clark-morrison.com,RAF IT,Diretor,11 Feb 2019
Logan,Barajas,mccormickdavid@lambert.info,Pascon & Freitas Consultoria Contábil,Sócia Contadora,11 Feb 2019
Chelsea,Walker,roy22@hotmail.com,Altran Consultoria em Tecnologia Brasil,ADAS/AD Project Chief,11 Feb 2019
James,Lewis,phillipsjoan@hotmail.com,,,11 Feb 2019
Douglas,Riley,faith36@gmail.com,Grupo Sada,Gerente Depto Adm. Pessoal,09 Feb 2019
Heidi,Erickson,jaredmiller@hotmail.com,PRODAP,Coordenador de Gestão de Pessoas - P&P,09 Feb 2019
Christopher,Hale,shelley94@mckenzie.org,Itambé,Gerente Corporativo de Manutenção,08 Feb 2019
Daniel,Mcknight,zkelly@wallace-cole.com,Sada Transportes,Supervisora Financeira,08 Feb 2019
Jeffrey,King,raymond36@jones.net,Voltz,HR Business Partner,08 Feb 2019
Selena,Barnett,ehill@hernandez.com,Rethink Tecnologia,Analista de Recursos Humanos ,07 Feb 2019
Brenda,Lindsey,aimee45@yahoo.com,IBRA Outplacement e Evolução Profissional,Consultor de carreira,07 Feb 2019
Zachary,Waters,christopher43@davenport.biz,Grupo Classic,Assitente de marketing,07 Feb 2019
Isaac,Hernandez,wardcharles@thomas.com,Brilliant,Estagiário,07 Feb 2019
Aaron,Harris,tgarza@hotmail.com,,,
John,Werner,stephanie79@yahoo.com,SlicingDice - The All-in-One Data Solution,Assistente de auditoria,06 Feb 2019
Keith,Clements,diazdonald@yahoo.com,,,
Heidi,Greene,ncohen@hotmail.com,Viação Sorriso de Minas,Auxiliar administrativo,05 Feb 2019
Benjamin,Sanders,kimberly80@vega-austin.com,Confiança Múltiplos Negócios LTDA EPP,Auxiliar administrativo,05 Feb 2019
Mary,Miller,dferguson@hotmail.com,Leroy Merlin,Parts Sales Manager - E-commerce,05 Feb 2019
Julie,Munoz,haleybarnes@buck.info,Itaú Unibanco,Analista de Engenharia Jr,04 Feb 2019
Yesenia,Martinez,edward26@hotmail.com,Metalurgica Ventisilva,Coordenador de Recursos Humanos - PJ,03 Feb 2019
Bradley,Shaw,sandra98@gmail.com,Mate Couro S/A,Analista de manutenção e processos,03 Feb 2019
Scott,Carpenter,ilopez@hotmail.com,SGA TI em nuvem,Senior Sales Account Executive,03 Feb 2019
Jake,Watson,sandra59@bryan.net,UltraPão Alimentos,Product Development Analyst,01 Feb 2019
Courtney,Thompson,ismith@brown.org,Global Tecnologia Em Serviços E Utilidades Ltda,Gerente de Vendas,31 Jan 2019
Joshua,Roberts,velasquezkristina@richards.com,Vallourec,Técnico de planejamento SR,31 Jan 2019
Alicia,Hunt,heather71@hotmail.com,SLB CONTABILIDADE,Proprietário da empresa,30 Jan 2019
Jennifer,Palmer,warrenmark@swanson.com,Supera Negócios Imobiliários,Corretor de imóveis,30 Jan 2019
Edward,Romero,christensenyvette@hotmail.com,IPEM-MG,Assessora Jurídica,30 Jan 2019
Kimberly,Flores,brandygarcia@yahoo.com,Kairós Vellar Investimentos ,Mesa de Operações ,29 Jan 2019
Hunter,Baker,bradleymatthew@hotmail.com,Construtora Sudoeste,Analista de Projetos BIM,26 Jan 2019
Jason,Stone,glendabrown@mcdaniel-mcdonald.info,DHL Supply Chain,Coordenadora de Melhoria Contínua,26 Jan 2019
Tamara,Lewis,yherman@le.com,Pizza Burnet's,Gerente,25 Jan 2019
Alexander,Williams,arnoldrenee@hotmail.com,EPC Engenharia Projeto Consultoria SA,Projetista Mecânico Pleno,25 Jan 2019
Tina,King,lambelizabeth@roberts.com,Far-me,Head de Finanças,24 Jan 2019
Bobby,Peterson,brooke98@mcdonald.com,CXT,Inspetor de campo,24 Jan 2019
Christopher,Rodriguez,kathleennewman@hotmail.com,Patrus Transportes Urgentes Ltda,Estagiário de recursos humanos,24 Jan 2019
Gregory,Rogers,monicajones@yahoo.com,,,24 Jan 2019
April,Weiss,ginadowns@beasley.org,GOL Linhas Aéreas Inteligentes,Copiloto,24 Jan 2019
Jeff,Barton,cruzjustin@gmail.com,MRV,Analista de Suprimentos,23 Jan 2019
Richard,Morris,jameslisa@moore.com,,,23 Jan 2019
Dawn,Berger,tammy72@hotmail.com,Víktor Waewell,Book Author,23 Jan 2019
Gene,Brown,hooverjason@hotmail.com,CMC Displays - Unboxing Solutions,Proprietário,23 Jan 2019
Adam,Thomas,stephanie91@hendrix-roberson.com,Tecnocar Engenharia Ltda,Product Project Manager,23 Jan 2019
Kevin,Chapman,cjames@james.com,,,23 Jan 2019
Alexa,Harris,lideborah@skinner-shelton.com,Colégio São Judas Tadeu ,Auxiliar de sala de aula,22 Jan 2019
Mark,Hardin,billy80@alvarez.com,Rabelo Recursos Humanos ,Consultora de RH,22 Jan 2019
Tiffany,Wheeler,bridget21@gmail.com,Belgo Bekaert,Estagiário Trainne,22 Jan 2019
Heather,Anderson,lance10@gmail.com,,,
Samantha,Rhodes,yangelizabeth@gmail.com,Pontifícia Universidade Católica de Minas Gerais,Department Head,21 Jan 2019
Steven,Gutierrez,matthew85@hotmail.com,,,
Michael,Roberts,nbrooks@hughes.com,,,
Charles,Allen,myersfrank@myers.com,Autentica Engenharia Industrial,Orçamentista comercial VIII,21 Jan 2019
Caitlin,Harmon,christopher54@johnson.net,Localiza Gestão de Frotas,Sucesso do Cliente,21 Jan 2019
Pamela,Wells,davisashley@gmail.com,HENRIQUE BAIÃO,CEO / Sócio Fundador,21 Jan 2019
Madison,Patel,sbradley@chambers.org,Sonastério,Coordenador de projetos,20 Jan 2019
Debbie,Huber,jennifer94@hotmail.com,BN Express,CEO,19 Jan 2019
Tracie,Baker,sanchezdanielle@suarez-jones.com,Toro - Investimentos,Senior Talent Acquisition,18 Jan 2019
Kevin,Miller,raymondgarcia@reese-rose.com,FIEMG,Coordenadora de Educação Corporativa,18 Jan 2019
Caleb,Alvarez,cory05@cabrera-robertson.com,Instituto Defesa Coletiva,Analista Administrativo,17 Jan 2019
Christian,Thompson,sharonjackson@mendoza.com,www.RogerLessa.com,CEO,17 Jan 2019
Nicole,French,lindsay37@grant-mckee.com,União Equipamentos Mecânicos Ltda,Analista de Métodos e Processos Pleno | Analista de PCP Pleno,17 Jan 2019
Scott,Jackson,mporter@hinton.com,Tecnocar Engenharia,Projetos de Engenharia,17 Jan 2019
Teresa,Stanley,adrianholland@jones-pennington.com,PUC Minas Oficial,Assistente administrativo,16 Jan 2019
Brittany,Smith,rbrown@yahoo.com,,,
Jason,Lopez,mitchellmichael@hotmail.com,Autônomo,Instalador técnico,16 Jan 2019
Shannon,Stafford,scottanderson@serrano.com,PFS Empreendimentos,Empreendedor,15 Jan 2019
William,Hill,jacksonmarcus@newman.com,EVOHR,Consultor Protheus em Recursos Humanos,15 Jan 2019
Karen,Jackson,hunterjohnson@ray.biz,HiveSys,Engenheiro de software remoto,15 Jan 2019
Michael,Garcia,john98@hotmail.com,FCA Latam (Fiat Chrysler Automobiles),Project Chief - Brake Systems,15 Jan 2019
Ryan,Wheeler,cynthiamatthews@haas-brown.com,Griloano,Fotógrafo profissional,15 Jan 2019
Emily,Russo,heather76@james.com,Neves & Pimenta Advogados,Advogado,15 Jan 2019
Dylan,Nguyen,alexandrakoch@gmail.com,Deloitte,Business Analyst,15 Jan 2019
Chase,Cox,morriskatherine@bell.com,MARTINS LANNA / TCL Mineração - Tecnologia em Areia e Brita,Controlador de manutenção,14 Jan 2019
Kristen,Harvey,dhall@gmail.com,Wylinka,Líder de projetos,14 Jan 2019
Courtney,Mcgee,larrywilliams@gmail.com,Drogaria Araujo S/A,Analista de Treinamento e Desenvolvimento,14 Jan 2019
Thomas,Meadows,nmcbride@morales.net,Dj Caio Aguiar,Proprietário,14 Jan 2019
Steven,Johnson,jamesallen@macias-le.com,Nomad Sports,Gerente financeiro/administrativo,14 Jan 2019
Jerome,Berry,lwilson@gmail.com,Localiza,Analista de Projetos Especiais,14 Jan 2019
Veronica,Hall,imiller@hotmail.com,Precon Engenharia,Auxiliar de engenharia,14 Jan 2019
Miguel,Carter,bkennedy@hotmail.com,,,
Michael,Thornton,townsendtheresa@gmail.com,Remo Engenharia,Analista de planejamento,13 Jan 2019
Jason,Fox,aaron91@clark.net,MadeSimple Group,Mid-Level PHP Developer,13 Jan 2019
Nicole,Wright,tammyhernandez@parker.com,AGIS MEDICAL,Coordenadora Técnica,13 Jan 2019
Yolanda,Porter,samuel32@smith.info,Pimentel Advogados Associados,Advogada associada,12 Jan 2019
Maria,Hayden,byrdvictoria@hotmail.com,CBTU - Companhia Brasileira de Trens Urbanos,Técnico Industrial - Eletrotécnica,11 Jan 2019
Scott,Burke,youngstephanie@patterson.info,Qatar Investimentos,Operador de mesa Jr,11 Jan 2019
Kenneth,Farmer,robert71@gmail.com,Ferrosider Componentes Ltda,Chefe de Administração de Pessoal e Recursos Humanos,11 Jan 2019
Kristin,Rangel,lgarrett@best-kemp.com,Hatch,Instrumentation Engineer | Engenheiro de Instrumentação,11 Jan 2019
Caroline,Deleon,dustin39@gmail.com,Clarice Santana Desenvolvimento Humano,Coach Executiva e de Carreira | Psicoterapeuta,11 Jan 2019
Sarah,Zavala,kelly18@parker.com,Localiza,Analista Sênior de Planejamento de Frota,11 Jan 2019
Justin,Hall,hjones@merritt.com,RHI Magnesita,Analista RH,10 Jan 2019
Suzanne,Rodriguez,carlaryan@hotmail.com,Grupo Buzattos,Arquiteta projetista,10 Jan 2019
Kevin,Rhodes,harrismichael@gmail.com,Beazy,Head Of Content,10 Jan 2019
Brandon,Ball,diane76@french.biz,Air Liquide Brasil,Consultor Técnico de Vendas,10 Jan 2019
Sheri,Wilson,ijones@allen.com,Secretaria de Estado de Educação do Estado de Minas Gerais.,Professor de biologia,10 Jan 2019
Olivia,Brown,franciskara@yahoo.com,Seu Inbox,CEO & Owner,10 Jan 2019
Rachel,Young,trevor28@hotmail.com,Maroto Indústria e Comércio,CEO,10 Jan 2019
Linda,Leon,amberhernandez@miller.net,Proverh,Consultoria em Recursos Humanos,10 Jan 2019
Doris,Simpson,qhernandez@yahoo.com,Tribunal Regional do Trabalho - 3a. Regiao,Estagiário de Direito,10 Jan 2019
Gregory,Miller,alexasmith@gmail.com,Applus+ IDIADA,Projetista / Analista do Produto,09 Jan 2019
Jennifer,Ruiz,albertblackwell@yahoo.com,BVP Geotecnia e Hidrotecnia,Estagiário,09 Jan 2019
Crystal,Smith,mparker@vega-boyd.net,Belgo Mineira Bekaert_Grupo Arcelor Mittal,Remuneração e Beneficios,09 Jan 2019
Steven,Rodriguez,torresjeffrey@hotmail.com,Avanade,Human Resources Business Partner,09 Jan 2019
Derek,Nelson,john05@moore-garcia.com,AlmavivA do Brasil,Gerente geral de operações,09 Jan 2019
Steven,Frye,christopherwest@gmail.com,Tribunal de Justiça do Estado de Minas Gerais,Assessor jurídico,09 Jan 2019
David,Rodriguez,morrowsean@snyder.com,Eletro Vibez,CEO and Head of Marketing,09 Jan 2019
Kimberly,Pacheco,amymartin@yahoo.com,Magna International,Coordenadora de Recursos Humanos,09 Jan 2019
Erica,David,robert00@wallace-williams.com,Ultragaz,Supervisor Regional de Logística Domicilar,09 Jan 2019
Kaylee,Hoffman,david35@yahoo.com,Rede Globo,Operador de áudio,09 Jan 2019
Nathan,Harrell,ashleyvilla@mccarthy.net,STEF ARTES GRÁFICAS LTDA,SERVIÇOS GRÁFICOS,09 Jan 2019
Traci,Bush,casemolly@rivera.com,KSB Brasil Ltda,Técnico Orçamentista,09 Jan 2019
Bradley,Wilson,collinsvictoria@hotmail.com,CGP,ispetor de obra,09 Jan 2019
Erin,Rodriguez,kirbysue@hotmail.com,Maturado Steak House,Sócio proprietário,09 Jan 2019
Maria,Morton,rhonda98@yahoo.com,VINCI Energies,Especialista de Desenvolvimento Humano e Organizacional,09 Jan 2019
Joshua,Clark,stephaniebuckley@gmail.com,Vale,Engenheiro Pleno,09 Jan 2019
Carlos,Harris,smiller@johnson.biz,M.Roscoe Engenharia e Construção Ltda,Estagiário,09 Jan 2019
Yesenia,Bailey,isaac44@gmail.com,Asesoria y Consultoria Independiente,Asesor inmobiliario,09 Jan 2019
Douglas,Clark,alicebarker@wilson.com,OGP SOLUÇÕES,Gerente de serviços,08 Jan 2019
Lori,Miller,patriciacruz@graham.com,,,08 Jan 2019
April,Smith,mfields@yahoo.com,Bagy,Chief Product Officer,08 Jan 2019
Erin,Greene,hollybaker@gmail.com,Stola do Brasil Ltda.,Analista de Compras,08 Jan 2019
George,Dawson,charleskim@hotmail.com,Vale,Engenheira Civil Júnior II,08 Jan 2019
Carmen,Vargas,robertdonaldson@lee.net,GoPhone,Responsável por Operações Técnicas,08 Jan 2019
Crystal,Rose,robinsonbenjamin@hotmail.com,N Malhas,Gerente comercial,08 Jan 2019
Carl,Miller,susangalloway@yahoo.com,Syngenta,Auxiliar de campo,08 Jan 2019
Cheryl,Nichols,christophernelson@yahoo.com,,,08 Jan 2019
Debra,Williams,jacobgomez@clark-horton.net,Dakar Móveis,Sócio-gerente geral,08 Jan 2019
Thomas,Kim,reyesjennifer@gmail.com,Vale,Analista Operacional,08 Jan 2019
Cheryl,Wolf,kimberly13@campbell.net,,,08 Jan 2019
Susan,Patel,willislucas@yahoo.com,Robotec Automação e Robótica,Projetista Mecânico Pleno,08 Jan 2019
Laurie,Sanchez,qbryan@powers.com,RNascimento Treinamentos,Microempreendedor,08 Jan 2019
Lisa,Hernandez,terriwhite@yahoo.com,Stone,Product Leader,08 Jan 2019
Raymond,Anderson,ebraun@crawford-mccormick.net,GE Power,Analista de processos de negócios,08 Jan 2019
Sheila,Brewer,robert36@yahoo.com,CEMIG,Técnica Sistema Elétrico,08 Jan 2019
Kelly,Smith,nicholaslove@hotmail.com,Grupo,Empreendedor,07 Jan 2019
Loretta,Frank,benjaminmathis@hotmail.com,SM&A Sistemas Elétricos,Estagiário de projetos,20 Dec 2018
Destiny,Hodges,kimberly02@willis.info,Fiocruz,Aluno pesquisador de doutorado,19 Dec 2018
Mitchell,Mcconnell,connie98@yahoo.com,AuPaircom,Au Pair - France,17 Dec 2018
Lisa,Mccoy,vaughnlisa@love-reese.biz,Pontifícia Universidade Católica de Minas Gerais,Professor,17 Dec 2018
Christopher,Todd,christophermartinez@hotmail.com,Light,Especialista em Regulação Estratégica,14 Dec 2018
Alexis,Grant,renee97@yahoo.com,Magazine Diniz,Especialista em Marketing Digital,13 Dec 2018
Ryan,Johnson,vanessa29@sexton.org,Ministério Público do Estado de Minas Gerais,Engineer Intern,10 Dec 2018
Kathy,Baker,kennethwatkins@hotmail.com,SM&A Sistemas Elétricos,Auxiliar tecnico,10 Dec 2018
Aaron,Griffin,thomasmartin@dominguez.biz,Contra Regras Produção e Comunicação Ltda,Adminstrativo,07 Dec 2018
William,Costa,mnichols@yahoo.com,AETHRA GROUP - Automotive Systems,Comprador Jr.,07 Dec 2018
Helen,Acevedo,kperez@gmail.com,USIMINAS,Intern of Sustainability at Usiminas Mining,05 Dec 2018
Carolyn,Anderson,jnavarro@yahoo.com,Dg Socialm,Marketing Digital,05 Dec 2018
Kelly,Wilcox,spearson@hotmail.com,STEP Engenharia,Projetista,05 Dec 2018
Mitchell,Hamilton,tbrown@fisher.com,Almeida Vales Engenharia,Sócio proprietário,05 Dec 2018
Thomas,Reynolds,mason89@hotmail.com,Brasif Máquinas,Coordenador de produtos,05 Dec 2018
Sarah,Jones,dkidd@yahoo.com,IBGE-Instituto Brasileiro de Geografia e Estatística,Coordenador Censitário de Subárea,04 Dec 2018
Edward,Gonzalez,eduardo46@holland.com,Vale,Analista de Excelência Operacional,04 Dec 2018
Stephen,Bell,travisrichmond@gmail.com,Câmara Municipal de Contagem,Assessor Parlamentar,04 Dec 2018
Laura,Rogers,smithjuan@hernandez.com,BI Xperience,Co-founder,04 Dec 2018
Brittany,Cohen,jhines@hotmail.com,Sudamin,Controller,04 Dec 2018
Christina,Reed,ryan69@summers.com,Prefeitura Municipal de Contagem ,Secretário Municipal de Comunicação e Transparência ,04 Dec 2018
Kathleen,Cordova,christina69@stewart.com,Autentica Engenharia Industrial,Orçamentista VIII,03 Dec 2018
Patrick,Mcdonald,campbellvalerie@davis-williams.biz,,,
Jonathan,Franco,hawkinsdarren@yahoo.com,R.A.P. Studio & Design,Visual Merchandiser and Window Designer Interior and Exterior,28 Nov 2018
Karen,Gray,derek45@brown-webb.net,Novotel Hotels e Ibis Budget,Coordenador de manutenção,28 Nov 2018
Robert,Marshall,andrewrivera@hotmail.com,INBRASP - Indústria Brasileira de Plásticos,Analista de Processos,28 Nov 2018
Anthony,Price,froberts@gmail.com,Seoyon Intech Brasil,Advogado corporativo,22 Nov 2018
Micheal,Adams,campbelleric@yahoo.com,Altran Consultoria em Tecnologia Brasil,Analista de desenvolvimento de produtos na FCA por meio da Altran,22 Nov 2018
Erin,Freeman,jacksonjoel@gmail.com,Inter,Analista de Formalização CGI,22 Nov 2018
Jeffrey,Wright,miguellawrence@yahoo.com,Johnson & Johnson,Field Support Analyst - Strategic Acccounts,22 Nov 2018
Mike,Martinez,bradleywanda@hotmail.com,National Oilwell Varco,HR Business Partner,21 Nov 2018
Kara,Shepard,ashley00@smith-holmes.com,Stone,Consultor comercial - Expansão ,21 Nov 2018
Thomas,Gonzales,joshuaclark@yahoo.com,CNH Industrial,Estagiário,20 Nov 2018
Dustin,Garcia,edward41@gmail.com,Unimed Aeromédica,Assistente de Atendimento Aeromédico,15 Nov 2018
Jason,Yang,john12@hotmail.com,Bekaert,Assistente de Compras II,14 Nov 2018
Katherine,Mann,whiteanthony@brown.com,Autentica Engenharia Industrial,Orçamentista III,12 Nov 2018
Scott,Barrera,hwilson@torres.com,Mendes Engenharia Clinica,Coordenador de Engenharia Clínica,10 Nov 2018
Tonya,Smith,baileyrichardson@hood.com,Fotus Energia Solar,Analista comercial,10 Nov 2018
Courtney,Mccann,zgreen@yahoo.com,Prosegur,Analista Faturamento JR,10 Nov 2018
Joshua,Vega,nhogan@yahoo.com,Amanco Wavin,Key Account Sales Specialist,10 Nov 2018
Phyllis,Turner,twilliams@russell.net,,,
Charles,Martin,crystalbonilla@gmail.com,CEVA Logistics,Data Scientist and Business Intelligence Developer,10 Nov 2018
Roy,Reed,diazjerome@king.biz,Mercantil Mineira Logistica,Auxiliar administrativo de transporte,10 Nov 2018
Heather,Boyer,rnavarro@gmail.com,Itaú Unibanco,Project and Process Analyst,06 Nov 2018
Nicole,Vazquez,sheilacastro@sweeney.com,Alldagro - Gestão e Resultados Agropecuários,Consultor Técnico,06 Nov 2018
Chad,Mccoy,daniel47@hotmail.com,Stellantis,Wheels and Wheel Trim Specialist,06 Nov 2018
Monica,Gross,xtaylor@hotmail.com,Autônomo,Professora particular,06 Nov 2018
Stephen,Holloway,davishelen@bailey.info,Elvenworks,Inside Sales,06 Nov 2018
Tiffany,Marquez,luis42@hays.com,Andrade Silva Advogados,Advogada Tributarista,06 Nov 2018
Heather,Mullins,rachelfowler@yahoo.com,Elétrica MG e Construções Ltda.,Diretor Administrativo,06 Nov 2018
Becky,Herring,marysmith@livingston-bullock.com,Mercantil do Brasil,Analista de Sistemas,06 Nov 2018
Rodney,Rogers,randy25@yahoo.com,MGcloud,Líder de negócios,06 Nov 2018
Jennifer,Bishop,fwilliams@hotmail.com,Arithmos Gestão Contábil,Departamento geral,16 Oct 2018
Kyle,Vargas,vmunoz@patterson-keller.com,Npo Sistemas do Brasil - a Ricoh Company,PMO - Analista de Projetos PL,16 Oct 2018
Gregory,Alvarado,destiny29@chen-welch.com,Stellantis Latam,Logistics Engineering Analyst,16 Oct 2018
Karen,Maldonado,david47@yahoo.com,RGL Engenharia e Consultoria LTDA,Auxiliar de Engenharia Civil,16 Oct 2018
Gavin,Garcia,laura26@yahoo.com,Cielo,Supervisor de Logística,16 Oct 2018
Ashley,Gonzalez,woodmark@ferguson-hudson.org,Abreu Nobre Advocacia e Consultoria Jurídica,Advogada,16 Oct 2018
Stacy,Russell,dawsonrobin@gmail.com,Indústria Mecânica Alterosa LTDA,Planejamento e Controle da Produção (PCP),16 Oct 2018
Marcia,Gutierrez,ovance@yahoo.com,Salum Construções,Analista da Qualidade,16 Oct 2018
Matthew,Herrera,mlynn@gmail.com,,,28 Aug 2018
Megan,Casey,campbellrobert@hotmail.com,Teknisa,Assistente de Compras,28 Aug 2018
Angela,Wyatt,aroth@taylor.com,OTUS Consultoria,CEO,09 Aug 2018
Elizabeth,Koch,estradakathleen@gmail.com,Simatec,Consultor de Vendas,19 Jun 2018
Andrew,Goodman,williamcoleman@hotmail.com,TORA,Analista Comercial,19 Jun 2018
Kevin,Williams,troy07@hotmail.com,Frelance Graphic Designer,Designer,19 Jun 2018
Paul,Gardner,michaelyoung@mata.com,Localiza,Assistente Administrativo I - ADMAC,19 Jun 2018
Donald,Byrd,nicholas47@hotmail.com,Lutter Construtora,Estagiário de engenharia,19 Jun 2018
Christopher,Smith,gilbertmichelle@gmail.com,Mimus Sobre Rodas,Proprietária,19 Jun 2018
Kathleen,Rush,bishopryan@smith-sherman.org,Vallourec Tubos do Brasil S.A.,Estagiário,19 Jun 2018
Courtney,Hall,annhampton@curtis.info,SEGULA Technologies,Project Coordinator,19 Jun 2018
Deborah,Olson,thomasmacias@allen-harris.info,AeM Negócios Públicos,Gestor de Negócios,19 Jun 2018
Dwayne,Andrews,ljohnson@gmail.com,Autônomo,Engenheiro mecânico,19 Jun 2018
Michelle,Johnson,browncrystal@howard.com,Vale,Analista de suprimentos,19 Jun 2018
Alexis,Gillespie,sharon52@hotmail.com,Arbitrium Sports,Marketing Director,19 Jun 2018
Megan,Smith,pamelaharrington@alexander.com,fredericus augustus photography,Proprietário,19 Jun 2018
Nicholas,Warren,brownpaul@serrano-webb.info,STEP Engenharia,Projetista,19 Jun 2018
Kristen,Miller,walkerchristopher@chambers.info,Construtora Você,Auxiliar de Engenharia civil,19 Jun 2018
Brianna,Nelson,akennedy@gmail.com,Equipapocos Comercio De Motobombas E Servicos,Adm/Compras,19 Jun 2018
Ashley,Holland,julianferguson@hotmail.com,FedEx,Encarregada de Soluções,19 Jun 2018
Sheri,Tran,jcortez@smith.com,Marph,Publicidade,19 Jun 2018
Thomas,Holloway,millercindy@gmail.com,Simply Tecnologia,Analista de Negócios e Processos Ágeis,19 Jun 2018
Jill,Hart,kylejackson@yahoo.com,Engescom,Analista de Planejamento,17 Jan 2016
David,Barnes,jonathan72@hotmail.com,,,30 Dec 2015
Marvin,White,wstone@lee.com,Consultorio  de Psicologia,Psicólogo clínico,16 Dec 2015
Karl,Gutierrez,brian58@bryan.org,Stellantis,NVH CAE Engineer,04 Dec 2015
Xavier,Nichols,jenniferperry@yahoo.com,Alicorp,Analista Contábil,20 Nov 2015
Patricia,Martinez,csmith@yahoo.com,Localiza,Assistente Financeiro,17 Nov 2015
Sarah,Lynn,courtneybaker@hotmail.com,Hospital Keralty LTDA,Nutricionista clínica,02 Oct 2015
Mark,Marquez,epadilla@lewis-bradley.com,Autonômo,Engenheiro ambiental,28 Aug 2015
